description,age,employment_status,employment_years,income,credit_score,loan_amount,loan_term_months,loan_purpose,debt_to_income,existing_loans,collateral,revolving_utilization,delinquencies,bankruptcies,underwriter_notes,credit_health_index,approved,risk_tier,recommended_apr,default_prob,max_approved_amount
"Credit application summary: $33,648 vehicle purchase loan sought by a 34-year-old employed individual. Repayment horizon is 60 months with vehicle collateral. Applicant commands an annual income of $186,273 with a FICO score of 682 and debt ratio of 0.08. Borrower carries 2 existing loan liability(ies) and revolving utilization of 18%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",34,Employed,9.1,186273,682,33648,60,Vehicle Purchase,0.08,2,Vehicle,0.18,1,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,138307
"Loan profile: The applicant is 45 years of age, working as retired with 15.7 years of experience. Seeking $71,095 financing for home improvement across 60 monthly installments secured by property / real estate. Earning $51,225 annually with an established credit score of 645 and monthly DTI of 0.49. The borrower currently maintains 3 existing loan liability(ies). Risk note: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",45,Retired,15.7,51225,645,71095,60,Home Improvement,0.49,3,Property / Real Estate,0.27,1,0,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,42.8,0,Tier C (Subprime),17.83,0.555,16443
"Borrower review: 70-year-old employed requesting a $57,036 60-month loan for debt consolidation. Financial standing: $141,144 annual gross income, credit rating of 698, and leverage ratio of 0.07. Collateral posture: None. Obligation structure: no existing debt obligations, with zero delinquencies, 9% revolving usage. Prior bankruptcy recorded. Analyst review: Solid balance sheet with multi-year steady employment and low debt obligations.",70,Employed,31.9,141144,698,57036,60,Debt Consolidation,0.07,0,None,0.09,0,1,Solid balance sheet with multi-year steady employment and low debt obligations.,90.8,1,Tier A+ (Prime),7.27,0.02,96119
"Applicant is a 23-year-old retired professional (1.7 years in field) requesting a $37,516 credit facility for education over 180 months secured by vehicle. Declared annual income is $20,709 against a credit score of 733 and DTI ratio of 0.71. Credit file shows no existing debt obligations, 21% revolving utilization, and with zero delinquencies. Underwriting assessment: Moderate risk profile; requires verification of secondary liquid assets.",23,Retired,1.7,20709,733,37516,180,Education,0.71,0,Vehicle,0.21,0,0,Moderate risk profile; requires verification of secondary liquid assets.,64.8,1,Tier B (Near-Prime),12.99,0.121,10064
"Credit application summary: $85,582 personal loan sought by a 62-year-old employed individual. Repayment horizon is 12 months with vehicle collateral. Applicant commands an annual income of $43,958 with a FICO score of 536 and debt ratio of 0.47. Borrower carries 1 existing loan liability(ies) and revolving utilization of 30%. Credit notes: Unfavorable leverage metrics and multiple active loan liabilities.",62,Employed,13.2,43958,536,85582,12,Personal,0.47,1,Vehicle,0.3,0,0,Unfavorable leverage metrics and multiple active loan liabilities.,33.2,0,Tier C (Subprime),19.95,0.765,10945
"Loan profile: The applicant is 24 years of age, working as employed with 1.8 years of experience. Seeking $59,194 financing for home purchase across 36 monthly installments without collateral backing. Earning $101,465 annually with an established credit score of 725 and monthly DTI of 0.18. The borrower currently maintains 1 existing loan liability(ies). Risk note: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",24,Employed,1.8,101465,725,59194,36,Home Purchase,0.18,1,None,0.3,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,75337
"Borrower review: 54-year-old employed requesting a $22,508 120-month loan for home improvement. Financial standing: $61,413 annual gross income, credit rating of 611, and leverage ratio of 0.24. Collateral posture: Investment Portfolio. Obligation structure: no existing debt obligations, with zero delinquencies, 27% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",54,Employed,24.5,61413,611,22508,120,Home Improvement,0.24,0,Investment Portfolio,0.27,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,45599
"Applicant is a 32-year-old employed professional (5.9 years in field) requesting a $40,382 credit facility for home purchase over 12 months without collateral backing. Declared annual income is $38,551 against a credit score of 592 and DTI ratio of 0.27. Credit file shows no existing debt obligations, 27% revolving utilization, and with zero delinquencies. Underwriting assessment: Moderate risk profile; requires verification of secondary liquid assets.",32,Employed,5.9,38551,592,40382,12,Home Purchase,0.27,0,None,0.27,0,0,Moderate risk profile; requires verification of secondary liquid assets.,52.8,1,Tier B (Near-Prime),15.63,0.314,15266
"Credit application summary: $35,158 commercial equipment loan sought by a 29-year-old self-employed individual. Repayment horizon is 180 months with none collateral. Applicant commands an annual income of $27,834 with a FICO score of 727 and debt ratio of 0.58. Borrower carries no existing debt obligations and revolving utilization of 2%. Credit notes: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",29,Self-Employed,5.5,27834,727,35158,180,Commercial Equipment,0.58,0,None,0.02,2,0,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,36.1,0,Tier C (Subprime),19.31,0.709,7536
"Loan profile: The applicant is 30 years of age, working as business owner with 3.7 years of experience. Seeking $19,131 financing for home purchase across 12 monthly installments secured by investment portfolio. Earning $150,968 annually with an established credit score of 789 and monthly DTI of 0.03. The borrower currently maintains no existing debt obligations. Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",30,Business Owner,3.7,150968,789,19131,12,Home Purchase,0.03,0,Investment Portfolio,0.16,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,112093
"Borrower review: 37-year-old self-employed requesting a $33,894 60-month loan for debt consolidation. Financial standing: $109,500 annual gross income, credit rating of 701, and leverage ratio of 0.13. Collateral posture: Property / Real Estate. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 8% revolving usage. Analyst review: Strong liquidity profile and prime credit score history.",37,Self-Employed,8.7,109500,701,33894,60,Debt Consolidation,0.13,1,Property / Real Estate,0.08,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,81303
"Applicant is a 53-year-old employed professional (4.5 years in field) requesting a $94,307 credit facility for home purchase over 120 months secured by property / real estate. Declared annual income is $79,524 against a credit score of 579 and DTI ratio of 0.24. Credit file shows no existing debt obligations, 28% revolving utilization, and with 1 past delinquency flag(s). Underwriting assessment: Verified disposable cash flow comfortably covers debt service coverage ratio.",53,Employed,4.5,79524,579,94307,120,Home Purchase,0.24,0,Property / Real Estate,0.28,1,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,79.7,1,Tier A (Prime),9.72,0.03,47535
"Credit application summary: $91,234 home purchase loan sought by a 58-year-old self-employed individual. Repayment horizon is 60 months with investment portfolio collateral. Applicant commands an annual income of $58,252 with a FICO score of 632 and debt ratio of 0.35. Borrower carries 2 existing loan liability(ies) and revolving utilization of 37%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",58,Self-Employed,31.1,58252,632,91234,60,Home Purchase,0.35,2,Investment Portfolio,0.37,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,82.8,1,Tier A+ (Prime),9.03,0.022,36174
"Loan profile: The applicant is 60 years of age, working as retired with 27.3 years of experience. Seeking $79,613 financing for home improvement across 60 monthly installments without collateral backing. Earning $28,285 annually with an established credit score of 652 and monthly DTI of 0.71. The borrower currently maintains 2 existing loan liability(ies). Risk note: High revolving credit utilization with recent delinquency inquiries on file.",60,Retired,27.3,28285,652,79613,60,Home Improvement,0.71,2,None,0.16,0,0,High revolving credit utilization with recent delinquency inquiries on file.,41.7,0,Tier C (Subprime),18.08,0.582,8846
"Borrower review: 61-year-old business owner requesting a $71,995 24-month loan for home purchase. Financial standing: $97,969 annual gross income, credit rating of 700, and leverage ratio of 0.23. Collateral posture: Vehicle. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 20% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",61,Business Owner,30.1,97969,700,71995,24,Home Purchase,0.23,2,Vehicle,0.2,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,72741
"Applicant is a 69-year-old unemployed professional (0.0 years in field) requesting a $46,910 credit facility for home improvement over 36 months secured by vehicle. Declared annual income is $15,000 against a credit score of 679 and DTI ratio of 2.20. Credit file shows 3 existing loan liability(ies), 13% revolving utilization, and with 1 past delinquency flag(s). Underwriting assessment: Aggressive loan request relative to stated annual gross income.",69,Unemployed,0.0,15000,679,46910,36,Home Improvement,2.2,3,Vehicle,0.13,1,0,Aggressive loan request relative to stated annual gross income.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Credit application summary: $25,564 personal loan sought by a 42-year-old employed individual. Repayment horizon is 120 months with none collateral. Applicant commands an annual income of $46,010 with a FICO score of 723 and debt ratio of 0.12. Borrower carries no existing debt obligations and revolving utilization of 11%. Credit notes: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",42,Employed,5.0,46010,723,25564,120,Personal,0.12,0,None,0.11,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,34162
"Loan profile: The applicant is 26 years of age, working as retired with 0.6 years of experience. Seeking $61,256 financing for green energy & solar across 84 monthly installments secured by property / real estate. Earning $104,401 annually with an established credit score of 762 and monthly DTI of 0.17. The borrower currently maintains no existing debt obligations. Risk note: Solid balance sheet with multi-year steady employment and low debt obligations.",26,Retired,0.6,104401,762,61256,84,Green Energy & Solar,0.17,0,Property / Real Estate,0.2,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,77517
